listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTMSCF4MX9CJRZNKHR9URA7R,P200721-356E04961CC9,4,A107G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTMSCF4MX9CJRZNKHR9URA7R,P200721-356E04961CC9,4,A107G900,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTDEOFXU5FFVC4R7JHNTYSWQ,P200721-A173E2096CEC,4,ST-001-006-006,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTBBTFJFVQ9BWSZHBKPXAT5O,P200721-A173E2096CEC,4,ST-001-008-005,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTBBTFJFVQEZZGQHGFOBYEDX,P200721-A173E2096CEC,4,ST-001-009-002,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTBBTFJFVQEZZGQHGFOBYEDX,P200721-A173E2096CEC,4,ST-001-009-002,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTHWSG4QFZHAREYHFKIPRL3S,P200721-A173E2096CEC,4,ST-002-002-002,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTDEOEZEMH8PFN3FDXIRO470,P200721-A173E2096CEC,4,ST-002-003-009,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTAPCFTNGEY5CSM3XML6Z0CA,P200721-A173E2096CEC,4,A107G850,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTMSCECNPQDHJDRUXT5DIGU6,P200721-A173E2096CEC,4,A108A920,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
LSTMSCECNPQDHJDRUXT5DIGU6,P200721-A173E2096CEC,4,A108A920,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
